,OverallQual,GrLivArea,GarageArea,TotalBsmtSF,MasVnrType,BsmtQual,GarageFinish,SaleCondition
0,7,1710,548,856,BrkFace,Gd,RFn,Normal
1,6,1262,460,1262,None,Gd,RFn,Normal
2,7,1786,608,920,BrkFace,Gd,RFn,Normal
3,7,1717,642,756,None,TA,Unf,Abnorml
4,8,2198,836,1145,BrkFace,Gd,RFn,Normal
5,5,1362,480,796,None,Gd,Unf,Normal
6,8,1694,636,1686,Stone,Ex,RFn,Normal
7,7,2090,484,1107,Stone,Gd,RFn,Normal
8,7,1774,468,952,None,TA,Unf,Abnorml
9,5,1077,205,991,None,TA,RFn,Normal
10,5,1040,384,1040,None,TA,Unf,Normal
11,9,2324,736,1175,Stone,Ex,Fin,Partial
12,5,912,352,912,None,TA,Unf,Normal
13,7,1494,840,1494,Stone,Gd,RFn,Partial
14,6,1253,352,1253,BrkFace,TA,RFn,Normal
15,7,854,576,832,None,TA,Unf,Normal
16,6,1004,480,1004,BrkFace,TA,Fin,Normal
17,4,1296,516,0,None,TA,Unf,Normal
18,5,1114,576,1114,None,TA,Unf,Normal
19,5,1339,294,1029,None,TA,Unf,Abnorml
20,8,2376,853,1158,BrkFace,Ex,RFn,Partial
21,7,1108,280,637,None,TA,Unf,Normal
22,8,1795,534,1777,BrkFace,Gd,RFn,Normal
23,5,1060,572,1040,None,Gd,Unf,Normal
24,5,1060,270,1060,None,TA,Unf,Normal
25,8,1600,890,1566,Stone,Gd,RFn,Normal
26,5,900,576,900,None,TA,Unf,Normal
27,8,1704,772,1704,Stone,Ex,RFn,Normal
28,5,1600,319,1484,None,TA,RFn,Normal
29,4,520,240,520,None,TA,Unf,Normal
30,4,1317,250,649,None,TA,Unf,Normal
31,5,1228,271,1228,None,TA,Unf,Normal
32,8,1234,484,1234,None,Ex,RFn,Normal
33,5,1700,447,1398,None,TA,RFn,Normal
34,9,1561,556,1561,BrkFace,Ex,Fin,Normal
35,8,2452,691,1117,Stone,Ex,Fin,Normal
36,5,1097,672,1097,None,Gd,Unf,Normal
37,5,1297,498,1297,BrkFace,TA,Fin,Normal
38,5,1057,246,1057,None,TA,Unf,Abnorml
39,4,1152,0,0,None,TA,Unf,AdjLand
40,6,1324,440,1088,BrkFace,TA,RFn,Abnorml
41,5,1328,308,1350,None,TA,RFn,Normal
42,5,884,504,840,None,Gd,RFn,Normal
